Sokantno!,Mrzitelj,mrzi,Vucica
Otkrivamo:,,hoce da srusi,Vucica
"Ljudi moji, ovo je nemoguce!",Rušitelj,hoce da ubije,Vucica
Ovo je opasno!,Strani Plaæenik,ce ubiti,Vesica
Drzavni udar!,Djilasov pajtas,ce srušiti,Srbiju
Novi napad na Vucica!,Opozicioni mafijas,ce zapaliti,Penzionere
Ovo im ne smemo dozvoliti!,Balija,napastvovace,Vulina
Divljanje!,Ustasa,izvršice teroristicki napad na,Beograd
Ludilo!,Siptar,ce spaliti,Rasima Ljajica
,Terorista,ce jebati,Seselja
,Ekstremista,ce rasturiti,Maju Gojkovic
,Huligan,ce silovati,Putina
,Djilas,ce razneti,Trampa
,Djilas,ce izvršiti državni udar na,
,Djilas,ce oboriti,
,Obradovic,otima,
,Jeremic,krade,
,Zelenovic,ce ukrasti,
,Placenici,,
,Mrzitelji,,
,Djilasovci,,
,Milo,,
